sample,litter_type,member,group,Abundance
CC1o,CC,B,CCB,0.512273457
CC2o,CC,B,CCB,0.512273457
CC3o,CC,B,CCB,0.512273457
WS1o,WS,B,WSB,0.492238358
WS2o,WS,B,WSB,0.492238358
WS3o,WS,B,WSB,0.492238358
CS1o,CS,B,CSB,0.509700982
CS2o,CS,B,CSB,0.509700982
CS3o,CS,B,CSB,0.509700982
CSK1o,CS,B,CSB,0.513609467
CSK2o,CS,B,CSB,0.513609467
CSK3o,CS,B,CSB,0.513609467
AB1o,AB,B,ABB,0.506653334
AB2o,AB,B,ABB,0.506653334
AB3o,AB,B,ABB,0.506653334
FP1o,FP,B,FPB,0.54259325
FP2o,FP,B,FPB,0.54259325
FP3o,FP,B,FPB,0.54259325
CC1,CC,BF,CCBF,16.15888841
CC2,CC,BF,CCBF,16.15888841
CC3,CC,BF,CCBF,16.15888841
WS1,WS,BF,WSBF,16.82267213
WS2,WS,BF,WSBF,16.82267213
WS3,WS,BF,WSBF,16.82267213
CS1,CS,BF,CSBF,16.24411721
CS2,CS,BF,CSBF,16.24411721
CS3,CS,BF,CSBF,16.24411721
CSK1,CS,BF,CSBF,16.114625
CSK2,CS,BF,CSBF,16.114625
CSK3,CS,BF,CSBF,16.114625
AB1,AB,BF,ABBF,16.34508894
AB2,AB,BF,ABBF,16.34508894
AB3,AB,BF,ABBF,16.34508894
PF1,PF,BF,PFBF,15.15436208
PF2,PF,BF,PFBF,15.15436208
PF3,PF,BF,PFBF,15.15436208
