ASV IDs,Species.names,CC1o,CC2o,CC3o,WS1o,WS2o,WS3o,CS1o,CS2o,CS3o,CSK1o,CSK2o,CSK3o,AB1o,AB2o,AB3o,FP1o,FP2o,FP3o,CC1,CC2,CC3,WS1,WS2,WS3,CS1,CS2,CS3,CSK1,CSK2,CSK3,AB1,AB2,AB3,PF1,PF2,PF3,Genus names
ASV43,Achromobacter deleyi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,18,0,65,45,24,0,0,0,110,149,164,63,79,81,0,0,0,Achromobacter
ASV16,Achromobacter denitrificans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1776,1764,1688,0,0,0,288,265,323,1199,1214,1161,0,0,0,Achromobacter
ASV17,Achromobacter denitrificans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1604,1737,1599,54,70,54,264,320,318,1088,1060,1112,0,0,0,Achromobacter
ASV67,Achromobacter insuavis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,51,0,0,0,68,59,92,0,0,0,0,0,0,Achromobacter
ASV27,Achromobacter marplatensis,36,57,58,0,0,0,0,0,0,0,0,0,11,8,6,0,12,0,678,631,659,22,23,0,97,94,84,58,75,72,0,0,0,0,0,0,Achromobacter
ASV57,Acidovorax delafieldii,27,30,18,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,105,96,93,0,0,0,0,0,0,0,0,0,Acidovorax
ASV34,Acinetobacter baumannii,148,169,217,0,0,0,0,0,2,0,0,0,28,37,30,30,0,20,30,22,53,0,0,0,296,312,248,0,27,21,0,0,0,0,0,0,Acinetobacter
ASV37,Acinetobacter baumannii,138,148,246,0,0,0,0,3,0,0,0,0,24,33,0,0,14,0,25,0,0,0,7,0,307,362,294,7,0,0,0,2,0,0,0,0,Acinetobacter
ASV89,Acinetobacter bouvetii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,51,Acinetobacter
ASV78,Acinetobacter johnsonii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,75,28,33,Acinetobacter
ASV47,Agrobacterium fabrum,31,18,34,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,64,50,69,0,0,0,128,147,107,0,0,0,0,0,0,0,0,0,Agrobacterium
ASV81,Agrobacterium tumefaciens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,9,0,0,0,39,48,60,0,0,0,0,0,0,0,0,0,Agrobacterium
ASV79,Agromyces binzhouensis,11,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,43,46,55,0,0,0,0,0,0,0,0,0,Agromyces
ASV106,Alcaligenes aquatilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,10,0,0,0,0,0,0,0,9,24,Alcaligenes
ASV26,Bacillus cereus,191,204,221,0,0,0,0,0,0,0,0,0,37,38,11,7,0,8,5,10,10,0,0,0,832,806,723,4,0,5,0,0,0,0,0,0,Bacillus
ASV56,Bacillus haikouensis,23,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,124,107,0,0,0,0,0,0,0,0,0,Bacillus
ASV80,Bacillus velezensis,20,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,27,37,0,0,0,0,0,0,Bacillus
ASV73,Bradyrhizobium valentinum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,65,41,94,Bradyrhizobium
ASV60,Brevibacterium sediminis,27,28,35,0,0,0,0,0,0,0,0,0,0,7,0,0,16,14,0,3,12,0,0,0,66,77,56,0,0,0,0,2,0,0,0,0,Brevibacterium
ASV21,Brucella haematophila,273,234,272,0,0,0,0,0,0,0,2,0,49,65,39,139,172,132,511,504,565,0,0,0,979,889,812,0,0,0,0,0,0,0,0,0,Brucella
ASV28,Brucella intermedia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,13,550,525,549,0,0,0,328,310,330,0,0,0,0,0,0,Brucella
ASV13,Brucella melitensis,372,362,376,0,0,0,11,0,0,0,0,0,36,30,36,38,25,43,2161,2177,2262,709,636,665,449,472,373,2079,2126,2209,157,199,175,0,0,0,Brucella
ASV14,Brucella pseudogrignonensis,115,122,152,0,0,0,0,0,0,0,0,0,14,12,0,38,22,41,405,397,389,3404,3357,3366,363,349,294,1024,942,1039,46,45,59,0,0,0,Brucella
