time,letter,MonoLetter,metric,kw_p_value
T1,a,a  ,GH_val,0.0025987976241558528
T2,ab,ab ,GH_val,0.0025987976241558528
T3,bc, bc,GH_val,0.0025987976241558528
T4,c,  c,GH_val,0.0025987976241558528
T1,a,a  ,ABC_val,1.12347158476394e-15
T2,b, b ,ABC_val,1.12347158476394e-15
T3,b, b ,ABC_val,1.12347158476394e-15
T4,c,  c,ABC_val,1.12347158476394e-15
T1,a,a   ,RATIO,2.4346239643568723e-15
T2,b, b  ,RATIO,2.4346239643568723e-15
T3,c,  c ,RATIO,2.4346239643568723e-15
T4,d,   d,RATIO,2.4346239643568723e-15
