taxon_oid,Domain,Sequencing Status,Study Name,Genome Name / Sample Name,Sequencing Center,IMG Genome ID,Phylum,Class,Order,Family,Genus,Species,High Quality,Is Public,Ecosystem,Ecosystem Category,Ecosystem Subtype,Ecosystem Type,Specific Ecosystem,Geographic Location,Habitat,Isolation Country,Genome Size  * assembled,Gene Count  * assembled,Genome,...27,Name,Name2,Genome_name,GH_total_abundance,ABC_total_abundance,ABC_GH_ratio
8066638106,Bacteria,Permanent Draft,Taxonomic revisions and descriptions of new bacterial species based on genomic comparisons in the high-G+C-content subgroup of the family Alcaligenaceae,Pusillimonas soli DSM 25264,Eotvos Lorand University,8066638106,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,g__Allopusillimonas,s__Allopusillimonas soli,Yes,Yes,Environmental,Terrestrial,NA,Soil,NA,NA,NA,South Korea,4162848,4061,Pusillimonas,NA,soli,Pusillimonas soli,Pusillimonas soli,4,11,2.75
2775507155,Bacteria,Permanent Draft,Large-scale bioinformatics analysis of Bacillus genomes,Bacillus sp. AFS017336,"University of North Carolina, Chapel Hill",2775507155,p__Bacillota,c__Bacilli,o__Bacillales,Bacillaceae_G,g__Gottfriedia,s__Gottfriedia sp002556365,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,USA: New York,NA,USA,5682765,5307,Bacillus,NA,sp.,Bacillus sp.,Bacillus sp.,12,42,3.5
2545824503,Bacteria,Permanent Draft,Pyrinomonas methylaliphatogenes K22,Pyrinomonas methylaliphatogenes K22,"Harvard University, University of Waikato",2545824503,p__Acidobacteriota,c__Blastocatellia,o__Pyrinomonadales,Pyrinomonadaceae,g__Pyrinomonas,s__Pyrinomonas methylaliphatogenes,No,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"Mt. Ngauruhoe, New Zealand",NA,New Zealand,3795097,3245,Pyrinomonas,NA,methylaliphatogenes,Pyrinomonas methylaliphatogenes,Pyrinomonas methylaliphatogenes,16,11,0.6875
2563366745,Bacteria,Permanent Draft,Actinoalloteichus spitiensis RMV-1378,Actinoalloteichus spitiensis RMV-1378,Genotypic Technology,2563366745,p__Actinomycetota,c__Actinomycetes,o__Mycobacteriales,Pseudonocardiaceae,g__Actinoalloteichus,s__Actinoalloteichus spitiensis,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"Spiti Valley, Himachal Pradesh , Indian Himalayas",Soil,India,5706534,5214,Actinoalloteichus,NA,spitiensis,Actinoalloteichus spitiensis,Actinoalloteichus spitiensis,20,26,1.3
3003465734,Bacteria,Permanent Draft,Whole-genome sequencing of Cupriavidus and Ralstonia type and reference strains,Cupriavidus numazuensis LMG 26411,Ghent University,3003465734,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,g__Cupriavidus,s__Cupriavidus numazuensis,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,NA,NA,NA,9041797,8482,Cupriavidus,NA,numazuensis,Cupriavidus numazuensis,Cupriavidus numazuensis,10,16,1.6
2891367481,Bacteria,Permanent Draft,Genome sequencing of Blastopirellula marina HEX-2 MGV,Blastopirellula marina HEX-2 MGV,University of Sao Paulo,2891367481,p__Planctomycetota,c__Planctomycetia,o__Pirellulales,Pirellulaceae,g__Bremerella,s__Bremerella marina_B,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,Brazil: Sao Paulo,NA,Brazil,6638894,5562,Blastopirellula,NA,marina,Blastopirellula marina,Blastopirellula marina,10,10,1
2808606909,Bacteria,Permanent Draft,Burkholderia Genome sequencing - Northern Arizona University,Burkholderia ubonensis MSMB1520WGS,Northern Arizona University,2808606909,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,Burkholderiaceae,g__Burkholderia,s__Burkholderia ubonensis,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,"Australia: Tanami East, Northern Territory",NA,Australia,6127112,5626,Burkholderia,NA,ubonensis,Burkholderia ubonensis,Burkholderia ubonensis,9,33,3.6666666666666665
2885786713,Bacteria,Permanent Draft,Bacterial Consortium Driven PET Biodegradation,Pseudomonas sp. 9.2,Oregon State University,2885786713,p__Pseudomonadota,c__Gammaproteobacteria,o__Pseudomonadales,Pseudomonadaceae,g__Pseudomonas_E,s__Pseudomonas_E paraglycinae,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Contaminated,"USA, East Beach, Galveston, TX",NA,NA,6216025,5804,Pseudomonas,NA,sp.,Pseudomonas sp.,Pseudomonas sp.,10,32,3.2
2503692000,Bacteria,Permanent Draft,Hyphomicrobium sulfonivorans S1,Hyphomicrobium sulfonivorans S1,University of Edinburgh,2503692000,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,Hyphomicrobiaceae,g__Hyphomicrobium_A,s__Hyphomicrobium_A sulfonivorans,Yes,Yes,Environmental,Terrestrial,Unclassified,Soil,Unclassified,Warwickshire,Soil,United Kingdom,3986593,3805,Hyphomicrobium,NA,sulfonivorans,Hyphomicrobium sulfonivorans,Hyphomicrobium sulfonivorans,5,4,0.8
2999650683,Bacteria,Finished,Aquihabitans sp. G128 Genome sequencing,Aquihabitans sp. G128,Hankyong National University,2999650683,p__Actinomycetota,c__Acidimicrobiia,o__Acidimicrobiales,Iamiaceae,g__Aquihabitans,s__Aquihabitans sp019048865,Yes,Yes,Environmental,Terrestrial,Garden,Soil,Unclassified,South Korea: yeongju,NA,South Korea,4938963,4858,Aquihabitans,NA,sp.,Aquihabitans sp.,Aquihabitans sp.,10,6,0.6
